market,date,block,mcp_rs_mwh
DAM,2026-05-11,7,4819.3
DAM,2026-05-11,8,4706.72
DAM,2026-05-11,9,4299.53
DAM,2026-05-11,10,4259.03
DAM,2026-05-11,11,4169.83
DAM,2026-05-11,12,4114.63
DAM,2026-05-11,13,4012.15
DAM,2026-05-11,14,4000.91
DAM,2026-05-11,15,4000.07
DAM,2026-05-11,16,3906.25
DAM,2026-05-11,17,3961.45
DAM,2026-05-11,18,4012.81
DAM,2026-05-11,19,4000.84
DAM,2026-05-11,20,4012.38
DAM,2026-05-11,21,4032.45
DAM,2026-05-11,22,4090.01
DAM,2026-05-11,23,4259.95
DAM,2026-05-11,24,4327.65
DAM,2026-05-11,25,4134.8
DAM,2026-05-11,26,3892.96
DAM,2026-05-11,27,3579.8
DAM,2026-05-11,28,3579.2
DAM,2026-05-11,29,3462.11
DAM,2026-05-11,30,3173.82
DAM,2026-05-11,31,2021.82
DAM,2026-05-11,32,1537.7
DAM,2026-05-11,33,1000.73
DAM,2026-05-11,34,1419.48
DAM,2026-05-11,35,1367.66
DAM,2026-05-11,36,1419.58
DAM,2026-05-11,37,1399.33
DAM,2026-05-11,38,1218.07
DAM,2026-05-11,39,1378.59
DAM,2026-05-11,40,1432.87
DAM,2026-05-11,41,1269.68
DAM,2026-05-11,42,1269.59
DAM,2026-05-11,43,1001.99
DAM,2026-05-11,44,1328.51
DAM,2026-05-11,45,1001.56
DAM,2026-05-11,46,1001.76
DAM,2026-05-11,47,1001.91
DAM,2026-05-11,48,1001.86
DAM,2026-05-11,49,1001.68
DAM,2026-05-11,50,1001.68
DAM,2026-05-11,51,1001.73
DAM,2026-05-11,52,1001.74
DAM,2026-05-11,53,1001.7
DAM,2026-05-11,54,1001.76
DAM,2026-05-11,55,1001.94
DAM,2026-05-11,56,1247.14
DAM,2026-05-11,57,1537.6
DAM,2026-05-11,58,1623.42
DAM,2026-05-11,59,1973.86
DAM,2026-05-11,60,2021.7
DAM,2026-05-11,61,2499.74
DAM,2026-05-11,62,2500.38
DAM,2026-05-11,63,2500.53
DAM,2026-05-11,64,2483.46
DAM,2026-05-11,65,2483.27
DAM,2026-05-11,66,2499.86
DAM,2026-05-11,67,2539.98
DAM,2026-05-11,68,2820.64
DAM,2026-05-11,69,2930.41
DAM,2026-05-11,70,3200.37
DAM,2026-05-11,71,3549.0
DAM,2026-05-11,72,3722.02
DAM,2026-05-11,73,3699.68
DAM,2026-05-11,74,4579.57
DAM,2026-05-11,75,5000.0
DAM,2026-05-11,76,5750.03
DAM,2026-05-11,77,7999.49
DAM,2026-05-11,78,10000.0
DAM,2026-05-11,79,10000.0
DAM,2026-05-11,80,10000.0
DAM,2026-05-11,81,10000.0
